repo cwd             : /vepfs-cnbja62d5d769987/liushaokun/sys_work/MoCLE-main
train_file           : /vepfs-cnbja62d5d769987/liushaokun/sys_work/MoCLE-main/data/hydralora_pseudo_v2fix_all_mocle_standard/train.json
output_dir           : /vepfs-cnbja62d5d769987/liushaokun/sys_work/MoCLE-main/outputs/mocle_hydralora_standard_hydraopt_shuffle_20260503_031729
tensorboard_log_dir  : /vepfs-cnbja62d5d769987/liushaokun/sys_work/MoCLE-main/outputs/mocle_hydralora_standard_hydraopt_shuffle_20260503_031729/tb_logs
model                : /vepfs-cnbja62d5d769987/liushaokun/models/Llama-3.2-1B
tokenizer            : /vepfs-cnbja62d5d769987/liushaokun/models/Llama-3.2-1B
requested device     : cuda
actual device        : cuda
cuda visible devices : 1
gpu name             : NVIDIA L20
gpu memory free/total: 44.11 GiB / 44.39 GiB
samples loaded       : 95523
shuffle train        : True
batch keys           : ['attention_mask', 'cluster_id', 'input_ids', 'labels']
batch input_ids shape: (1, 277)
batch labels shape   : (1, 277)
first batch cluster_id: 2
num experts          : 4
max steps            : 11940
lr scheduler         : cosine
warmup steps         : 358
logging steps        : 10
save steps           : 1000
supervised tokens    : 2
loading model...
model init           : from_pretrained
trainable params: 6,815,744 || all params: 1,242,630,144 || trainable%: 0.5484933737451648
train mode           : mocle
total params         : 1242630144
trainable params     : 6815744
MOCLE_ROUTE step=1 raw_cluster_id=3 expert=expert_3
MOCLE_ROUTE step=1 raw_cluster_id=1 expert=expert_1
MOCLE_ROUTE step=1 raw_cluster_id=1 expert=expert_1
MOCLE_ROUTE step=1 raw_cluster_id=0 expert=expert_0
MOCLE_ROUTE step=1 raw_cluster_id=0 expert=expert_0
MOCLE_ROUTE step=1 raw_cluster_id=1 expert=expert_1
MOCLE_ROUTE step=1 raw_cluster_id=1 expert=expert_1
MOCLE_ROUTE step=1 raw_cluster_id=2 expert=expert_2
TRAIN_STEP step=410 expert=expert_1 cluster_id=1 loss=0.747427 lr=1.999901e-04 grad_norm=1.133798 seq_len=354 tokens=354 step_time=0.063s
TRAIN_STEP step=420 expert=expert_1 cluster_id=1 loss=0.609388 lr=1.999859e-04 grad_norm=1.187877 seq_len=343 tokens=343 step_time=0.069s
TRAIN_STEP step=430 expert=expert_1 cluster_id=1 loss=0.615067 lr=1.999809e-04 grad_norm=2.584883 seq_len=361 tokens=361 step_time=0.064s
TRAIN_STEP step=440 expert=expert_0 cluster_id=0 loss=1.048303 lr=1.999753e-04 grad_norm=1.124502 seq_len=259 tokens=259 step_time=0.058s
TRAIN_STEP step=450 expert=expert_1 cluster_id=1 loss=0.579306 lr=1.999689e-04 grad_norm=1.077532 seq_len=355 tokens=355 step_time=0.063s
TRAIN_STEP step=460 expert=expert_1 cluster_id=1 loss=0.619309 lr=1.999617e-04 grad_norm=1.579249 seq_len=336 tokens=336 step_time=0.064s
TRAIN_STEP step=470 expert=expert_0 cluster_id=0 loss=0.665067 lr=1.999539e-04 grad_norm=1.858601 seq_len=241 tokens=241 step_time=0.073s
TRAIN_STEP step=480 expert=expert_0 cluster_id=0 loss=0.440382 lr=1.999453e-04 grad_norm=1.999475 seq_len=276 tokens=276 step_time=0.069s
TRAIN_STEP step=490 expert=expert_0 cluster_id=0 loss=0.173017 lr=1.999359e-04 grad_norm=2.133855 seq_len=225 tokens=225 step_time=0.064s
TRAIN_STEP step=500 expert=expert_0 cluster_id=0 loss=0.324896 lr=1.999258e-04 grad_norm=13.609451 seq_len=224 tokens=224 step_time=0.060s
TRAIN_STEP step=510 expert=expert_2 cluster_id=2 loss=0.548917 lr=1.999150e-04 grad_norm=3.690950 seq_len=274 tokens=274 step_time=0.058s
